created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
Fri Apr 18 02:08:43 +0000 2025;7;Ketika China dan Malaysia menolak tegas relokasi warga Gaza dari palestina Prabowo malah sebaliknya berencana evakuasi 1000 warga Gaza menolong warga Gaza itu baik tapi mengikuti Amerika dan Israel yang melakukan cleansing etnis itu lebih buruk !! https://t.co/UnnBKELaxo;1,91E+18;https://pbs.twimg.com/media/GoyGZ34acAAZzUs.jpg;;in;;1;3;2;https://x.com/165Hati/status/1913052038260466031;1,75E+18;165Hati
Thu Apr 17 22:35:55 +0000 2025;18;negara sekomunis cn aja blak blakan menyatakan bahwa gaza milik rakyat palestine dan menentang genosida yg dilakukan us dan israel utk memindahkan tuan rumah dari rumahnya. sdgkan indo? presidennya mala mendukung proposal genosida us dan israel secara terbuka. presiden kontol. https://t.co/mjieXQBdtt;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1912998416663359488/img/B0F6owpt4F6DVPRy.jpg;;in;she/her 中/eng/idn 엑소 周翊然 金鍾仁;0;1;6;https://x.com/kinderrry/status/1912998487228293276;1,11E+18;kinderrry
Thu Apr 17 17:48:47 +0000 2025;15;Singakhale kape ndekuti madolo anzanga adandaula -@iamjeffNyimbo;1,91E+18;;;in;Malawi;1;0;5;https://x.com/Boi__izie/status/1912926227494478072;1,77E+18;Boi__izie
Sat Apr 19 09:28:17 +0000 2025;3;Seorang anak palestina menangis atas ayahnya tewas dalam serangan udara israel di Gaza. #StopGenocideİnGaza https://t.co/UJtQyOwIL0;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1913525009710268416/pu/img/f1SvAMDXsvXFlpTt.jpg;;in;bumi Allah hny singgah;0;0;1;https://x.com/blackrenge85717/status/1913525047496757368;1,84E+18;blackrenge85717
Wed Apr 16 11:30:51 +0000 2025;14;Setidaknya 51.000 warga Palestina dipastikan syahid sejak genosida Israel di Gaza dimulai. Banyak lainnya yang terkubur di bawah reruntuhan. Sejak Israel melanggar gencatan senjata (18 Maret 15 April 2025) setidaknya 1.630 orang syahid. https://t.co/zED1hU0Tk2;1,91E+18;https://pbs.twimg.com/media/Gop0K2gWoAArVkr.jpg;;in;Yogyakarta, Indonesia;0;1;16;https://x.com/sahabatalaqsha/status/1912468727695802402;57783490;sahabatalaqsha
Thu Apr 17 10:08:34 +0000 2025;1759;Saya dukung 1000000% ibu ini. Giliran bayi anak kecil orang tua dan warga gaza di bunuh israel laknatullah diam mulut kalian. #Fucknetanjahu #israelisshit https://t.co/GHXpFHbysA;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1912810347054161920/img/5xwS_ehGFTpdHt-9.jpg;;in;DKI Jakarta;8;57;545;https://x.com/UmarHasibuan__/status/1912810408911462861;312049767;UmarHasibuan__
Fri Apr 11 07:04:44 +0000 2025;17;Twakomekkerezza olusirika lw'Abakulembeze mu Buganda era obwanga butunuuliziddwa okwongera okukwata ku mbeera z'abavubuka mu Buganda kubanga bano gy'emirandira okulandira ekitiibwa kya Buganda kyetwogerako ekyava edda. #BugandaKuNtikko https://t.co/BzwKYsTOZb;1,91E+18;https://pbs.twimg.com/media/GoPHTpLX0AAVwxs.jpg;;in;;1;0;2;https://x.com/KazibweIsrael/status/1910589817479446975;1,70E+18;KazibweIsrael
Thu Apr 17 15:21:14 +0000 2025;1179;Biar aku kasih kata-kata hari ini mengapa kalian harus mengencangkan Gerakan BDS dan meluapkan emosi di semua front untuk kebiadaban Israel. Ingat-ingat hingga terwujud secara kaffah from the river to the sea Palestine will be free! 🇵🇸 https://t.co/fBKDlIAXc4;1,91E+18;https://pbs.twimg.com/media/GovyLBsbsAASSlW.jpg;;in;Kebayoran Lama, Jakarta;0;1;600;https://x.com/eyesofaquila/status/1912889094650446322;1,75E+18;eyesofaquila
Fri Apr 11 06:41:57 +0000 2025;6999;Rakyat Palestina ya harus tinggal di Palestina. Tanah mereka. Statemen begini malah menyepakati penjajahan yang dilakukan Israel gak solutif dan abai terhadap kemanusiaan. Bukannya pas pelantikan kemarin kalian ini pada teriak Free Palestine?;1,91E+18;;;in;;6;12;3708;https://x.com/fialamsyah/status/1910584085858443427;1687770055;fialamsyah
Thu Apr 17 11:37:20 +0000 2025;92;Mereka adalah anak-anak tak bersalah yang menjadi korban serangan Israel ke tenda-tenda pengungsi di daerah Al-Mawasi Khan Yunis Gaza selatan. Sedikitnya 23 warga Palestina syahid dalam serangan tersebut sebagian besar anak-anak dan lainnya terluka. https://t.co/i1kBSCsAN4;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1912832646973186048/img/R9OHnwSkcpq_Hoya.jpg;;in;Yogyakarta, Indonesia;3;3;165;https://x.com/sahabatalaqsha/status/1912832747154083898;57783490;sahabatalaqsha
Sun Apr 13 12:11:57 +0000 2025;159;Kelakuan orang-orang ini memang kadang ajaib. Mereka merusak kebahagiaan kita semua dgn nyambung-nyambungin film karya anak bangsa Jumbo dg sponsor afiliasi Israel ini-itu. Ujung-ujungnya dia ngajak donasi ‍️ https://t.co/rbn2svCZ0c;1,91E+18;https://pbs.twimg.com/media/GoagznPXIAAxcQT.jpg;;in;Istanbul, Turkey;1;10;45;https://x.com/herricahyadi/status/1911391908930158763;150123967;herricahyadi
Fri Apr 18 15:40:05 +0000 2025;10; Zionist you are not welcome. Di Indonesia masih aja ada yg berusaha memecah belah sesama pendukung perjuangan Palestina. Yg dibutuhkan skr adalah bersatunya ummat Islam melawan Zionis Israel. https://t.co/1T8BVb6y4r;1,91E+18;https://pbs.twimg.com/media/Go1AZK1aIAAgXY_.jpg;;in;;0;0;7;https://x.com/frans_surya/status/1913256227116843025;216301495;frans_surya
Sat Feb 15 01:55:10 +0000 2025;3182;Udah boycott sejak tau di*** nyumbang milyaran ke Israel. KEEP BOIKOT ‼️‼️‼️‼️‼️‼️ https://t.co/ideNQA05G0;1,89E+18;https://pbs.twimg.com/media/GjyxBF2XgAAdTLH.jpg;;in;Indonesia;15;40;856;https://x.com/tanyarlfes/status/1890580579201982519;1371650588;tanyarlfes
